# ID   log(Xflux)   log(Xlum)   Xclass
       39619      -99.000000      -99.000000   -
       39713      -99.000000      -99.000000   -
       39715      -99.000000      -99.000000   -
       39757      -99.000000      -99.000000   -
       39795      -99.000000      -99.000000   -
       39805      -99.000000      -99.000000   -
       39837      -99.000000      -99.000000   -
       39988      -99.000000      -99.000000   -
       40019      -99.000000      -99.000000   -
       40042      -99.000000      -99.000000   -
       40101      -99.000000      -99.000000   -
       40108      -99.000000      -99.000000   -
       40152      -99.000000      -99.000000   -
       40196      -99.000000      -99.000000   -
       40214      -99.000000      -99.000000   -
       40218      -99.000000      -99.000000   -
       40232      -99.000000      -99.000000   -
       40247      -99.000000      -99.000000   -
       40256      -99.000000      -99.000000   -
       40299      -99.000000      -99.000000   -
       40312      -99.000000      -99.000000   -
       40359      -99.000000      -99.000000   -
       40440      -99.000000      -99.000000   -
       40457      -99.000000      -99.000000   -
       40462      -99.000000      -99.000000   -
       40494      -99.000000      -99.000000   -
       40504      -99.000000      -99.000000   -
       40512      -99.000000      -99.000000   -
       40532      -99.000000      -99.000000   -
       40585      -99.000000      -99.000000   -
       40591      -99.000000      -99.000000   -
       40597      -99.000000      -99.000000   -
       40611      -99.000000      -99.000000   -
       40620      -99.000000      -99.000000   -
       40623      -99.000000      -99.000000   -
       40742      -99.000000      -99.000000   -
       40875      -99.000000      -99.000000   -
       40891      -15.889410       41.593286   Galaxy
       40923      -99.000000      -99.000000   -
       40968      -99.000000      -99.000000   -
       41053      -99.000000      -99.000000   -
       41062      -99.000000      -99.000000   -
       41086      -99.000000      -99.000000   -
       41108      -99.000000      -99.000000   -
       41121      -99.000000      -99.000000   -
       41130      -99.000000      -99.000000   -
       41137      -99.000000      -99.000000   -
       41160      -99.000000      -99.000000   -
       41195      -99.000000      -99.000000   -
       41198      -99.000000      -99.000000   -
       41212      -99.000000      -99.000000   -
       41226      -99.000000      -99.000000   -
       41249      -99.000000      -99.000000   -
       41250      -99.000000      -99.000000   -
       41261      -99.000000      -99.000000   -
       41352      -99.000000      -99.000000   -
       41370      -15.795880       41.906335   Galaxy
       41383      -99.000000      -99.000000   -
       41417      -99.000000      -99.000000   -
       41454      -99.000000      -99.000000   -
       41480      -99.000000      -99.000000   -
       41520      -99.000000      -99.000000   -
       41526      -99.000000      -99.000000   -
       41543      -99.000000      -99.000000   -
       41603      -99.000000      -99.000000   -
       41642      -99.000000      -99.000000   -
       41647      -99.000000      -99.000000   -
       41654      -99.000000      -99.000000   -
       41656      -99.000000      -99.000000   -
       41659      -99.000000      -99.000000   -
       41733      -99.000000      -99.000000   -
       41748      -15.146910       43.466868   AGN
       41753      -99.000000      -99.000000   -
       41757      -99.000000      -99.000000   -
       41759      -99.000000      -99.000000   -
       41761      -99.000000      -99.000000   -
       41764      -99.000000      -99.000000   -
       41767      -99.000000      -99.000000   -
       41781      -99.000000      -99.000000   -
       41784      -99.000000      -99.000000   -
       41802      -99.000000      -99.000000   -
       41829      -99.000000      -99.000000   -
       41839      -99.000000      -99.000000   -
       41857      -99.000000      -99.000000   -
       41861      -99.000000      -99.000000   -
       41865      -99.000000      -99.000000   -
       41873      -99.000000      -99.000000   -
       41886      -15.319664       43.631444   AGN
       41902      -99.000000      -99.000000   -
       41923      -99.000000      -99.000000   -
       41927      -99.000000      -99.000000   -
       41965      -99.000000      -99.000000   -
       41977      -99.000000      -99.000000   -
       41980      -99.000000      -99.000000   -
       41982      -99.000000      -99.000000   -
       41999      -99.000000      -99.000000   -
       42038      -99.000000      -99.000000   -
       42051      -99.000000      -99.000000   -
       42054      -99.000000      -99.000000   -
       42057      -99.000000      -99.000000   -
       42059      -99.000000      -99.000000   -
       42064      -99.000000      -99.000000   -
       42068      -99.000000      -99.000000   -
       42089      -99.000000      -99.000000   -
       42110      -99.000000      -99.000000   -
       42113      -15.679854       42.619093   AGN
       42145      -99.000000      -99.000000   -
       42148      -99.000000      -99.000000   -
       42159      -99.000000      -99.000000   -
       42160      -99.000000      -99.000000   -
       42166      -99.000000      -99.000000   -
       42185      -99.000000      -99.000000   -
       42235      -99.000000      -99.000000   -
       42236      -99.000000      -99.000000   -
       42248      -99.000000      -99.000000   -
       42249      -99.000000      -99.000000   -
       42258      -99.000000      -99.000000   -
       42263      -99.000000      -99.000000   -
       42266      -99.000000      -99.000000   -
       42287      -99.000000      -99.000000   -
       42316      -99.000000      -99.000000   -
