# ID   log(Xflux)   log(Xlum)   Xclass
       38159      -99.000000      -99.000000   -
       38160      -99.000000      -99.000000   -
       38163      -99.000000      -99.000000   -
       38173      -99.000000      -99.000000   -
       38179      -99.000000      -99.000000   -
       38180      -99.000000      -99.000000   -
       38184      -99.000000      -99.000000   -
       38193      -99.000000      -99.000000   -
       38210      -99.000000      -99.000000   -
       38212      -99.000000      -99.000000   -
       38216      -99.000000      -99.000000   -
       38220      -14.412289       43.986772   AGN
       38225      -99.000000      -99.000000   -
       38229      -99.000000      -99.000000   -
       38235      -99.000000      -99.000000   -
       38241      -99.000000      -99.000000   -
       38244      -99.000000      -99.000000   -
       38247      -99.000000      -99.000000   -
       38251      -99.000000      -99.000000   -
       38255      -99.000000      -99.000000   -
        8140      -16.130768       41.784617   AGN
        8300      -99.000000      -99.000000   -
        8762      -99.000000      -99.000000   -
        9030      -99.000000      -99.000000   -
        9083      -99.000000      -99.000000   -
        9128      -99.000000      -99.000000   -
        9178      -99.000000      -99.000000   -
        9211      -16.011441       41.744293   AGN
        9283      -99.000000      -99.000000   -
        9388      -99.000000      -99.000000   -
        9396      -99.000000      -99.000000   -
        9421      -99.000000      -99.000000   -
        9442      -99.000000      -99.000000   -
        9458      -99.000000      -99.000000   -
        9517      -99.000000      -99.000000   -
        9535      -99.000000      -99.000000   -
        9569      -99.000000      -99.000000   -
        9594      -99.000000      -99.000000   -
        9670      -99.000000      -99.000000   -
        9706      -99.000000      -99.000000   -
        9717      -99.000000      -99.000000   -
        9748      -99.000000      -99.000000   -
        9869      -99.000000      -99.000000   -
        9926      -99.000000      -99.000000   -
        9948      -99.000000      -99.000000   -
       10101      -99.000000      -99.000000   -
       10106      -99.000000      -99.000000   -
       10153      -99.000000      -99.000000   -
       10172      -99.000000      -99.000000   -
       10202      -99.000000      -99.000000   -
       10205      -99.000000      -99.000000   -
       10209      -99.000000      -99.000000   -
       10219      -99.000000      -99.000000   -
       10284      -99.000000      -99.000000   -
       10304      -99.000000      -99.000000   -
       10336      -99.000000      -99.000000   -
       10375      -99.000000      -99.000000   -
       10389            -NaN       41.158362   Galaxy
       10393      -99.000000      -99.000000   -
       10470      -99.000000      -99.000000   -
       10493      -99.000000      -99.000000   -
       10512      -15.690370       42.281033   AGN
       10528      -99.000000      -99.000000   -
       10566      -99.000000      -99.000000   -
       10619      -99.000000      -99.000000   -
       10639      -99.000000      -99.000000   -
       10653      -99.000000      -99.000000   -
       10657      -16.069051       42.332438   AGN
       10664      -99.000000      -99.000000   -
       10678      -99.000000      -99.000000   -
       10723      -99.000000      -99.000000   -
       10728      -99.000000      -99.000000   -
       10752      -99.000000      -99.000000   -
       10773      -99.000000      -99.000000   -
       10886      -99.000000      -99.000000   -
       10921      -99.000000      -99.000000   -
       10926      -99.000000      -99.000000   -
       11011      -99.000000      -99.000000   -
       11020      -99.000000      -99.000000   -
       11066      -99.000000      -99.000000   -
       11115      -15.694649       42.060698   AGN
       11128      -99.000000      -99.000000   -
       11152      -99.000000      -99.000000   -
       11159      -99.000000      -99.000000   -
       11160      -99.000000      -99.000000   -
       11201      -99.000000      -99.000000   -
       11228      -99.000000      -99.000000   -
       11288      -99.000000      -99.000000   -
       11327      -99.000000      -99.000000   -
       11334      -99.000000      -99.000000   -
       11339      -99.000000      -99.000000   -
       11344      -99.000000      -99.000000   -
       11346      -99.000000      -99.000000   -
       11381      -99.000000      -99.000000   -
       11393      -99.000000      -99.000000   -
       11429      -99.000000      -99.000000   -
       11431      -99.000000      -99.000000   -
       11443      -99.000000      -99.000000   -
       11487      -15.524329       43.646404   AGN
       11502      -99.000000      -99.000000   -
       11514      -99.000000      -99.000000   -
       11526      -99.000000      -99.000000   -
       11542      -99.000000      -99.000000   -
       11561      -99.000000      -99.000000   -
       11743      -99.000000      -99.000000   -
       11768      -99.000000      -99.000000   -
       11784      -99.000000      -99.000000   -
       11785      -15.493495       43.264818   AGN
       11800      -99.000000      -99.000000   -
       11802      -99.000000      -99.000000   -
       11814      -99.000000      -99.000000   -
       11837      -99.000000      -99.000000   -
       11849      -99.000000      -99.000000   -
       11941      -99.000000      -99.000000   -
       11946      -99.000000      -99.000000   -
       11964      -99.000000      -99.000000   -
       11975      -99.000000      -99.000000   -
       12006      -15.527244       41.878522   AGN
       12025      -99.000000      -99.000000   -
       12056      -99.000000      -99.000000   -
       12088      -99.000000      -99.000000   -
       12129      -99.000000      -99.000000   -
       12131      -99.000000      -99.000000   -
       12154      -99.000000      -99.000000   -
       12170      -99.000000      -99.000000   -
       12242      -99.000000      -99.000000   -
       12253      -99.000000      -99.000000   -
       12254      -99.000000      -99.000000   -
       12260      -99.000000      -99.000000   -
       12279      -99.000000      -99.000000   -
       12304      -99.000000      -99.000000   -
       12317      -99.000000      -99.000000   -
       12318      -99.000000      -99.000000   -
       12341      -99.000000      -99.000000   -
       12367      -99.000000      -99.000000   -
       12372      -99.000000      -99.000000   -
       12381      -99.000000      -99.000000   -
       12418      -99.000000      -99.000000   -
       12429      -99.000000      -99.000000   -
       12450      -99.000000      -99.000000   -
       12454      -99.000000      -99.000000   -
       12464      -99.000000      -99.000000   -
       12472      -99.000000      -99.000000   -
       12478      -99.000000      -99.000000   -
       12479      -99.000000      -99.000000   -
       12481      -99.000000      -99.000000   -
       12493      -99.000000      -99.000000   -
       12499      -99.000000      -99.000000   -
       12511      -15.815309       41.988559   AGN
       12529      -99.000000      -99.000000   -
       12532      -99.000000      -99.000000   -
       12539      -99.000000      -99.000000   -
       12541      -15.954677       42.103804   AGN
       12542      -99.000000      -99.000000   -
       12543      -99.000000      -99.000000   -
       12545      -99.000000      -99.000000   -
       12573      -99.000000      -99.000000   -
       12584      -99.000000      -99.000000   -
       12613      -99.000000      -99.000000   -
       12617      -99.000000      -99.000000   -
       12642      -99.000000      -99.000000   -
       12674      -99.000000      -99.000000   -
       12677      -99.000000      -99.000000   -
       12703      -99.000000      -99.000000   -
       12717      -99.000000      -99.000000   -
       12722      -99.000000      -99.000000   -
       12739      -99.000000      -99.000000   -
       12747      -99.000000      -99.000000   -
       12749      -99.000000      -99.000000   -
       12780      -99.000000      -99.000000   -
       12793      -99.000000      -99.000000   -
       12814      -99.000000      -99.000000   -
       12816      -99.000000      -99.000000   -
       12818      -99.000000      -99.000000   -
       12848      -99.000000      -99.000000   -
       12864      -99.000000      -99.000000   -
       12870      -99.000000      -99.000000   -
       12880      -99.000000      -99.000000   -
       12918      -99.000000      -99.000000   -
       12923      -99.000000      -99.000000   -
       12927      -99.000000      -99.000000   -
       12947      -99.000000      -99.000000   -
       12994      -99.000000      -99.000000   -
       13032      -15.982967       41.206826   Galaxy
       13037      -99.000000      -99.000000   -
       13042      -99.000000      -99.000000   -
       13049      -99.000000      -99.000000   -
       13117      -99.000000      -99.000000   -
       13138      -99.000000      -99.000000   -
       13140      -99.000000      -99.000000   -
       13148      -99.000000      -99.000000   -
       13166      -99.000000      -99.000000   -
       13171      -99.000000      -99.000000   -
       13191      -99.000000      -99.000000   -
       13195      -99.000000      -99.000000   -
       13209      -99.000000      -99.000000   -
       13214      -99.000000      -99.000000   -
       13236      -99.000000      -99.000000   -
       13262      -99.000000      -99.000000   -
       13286      -99.000000      -99.000000   -
       13305      -99.000000      -99.000000   -
       13312      -99.000000      -99.000000   -
       13344      -99.000000      -99.000000   -
       13352      -99.000000      -99.000000   -
       13396      -99.000000      -99.000000   -
       13401      -99.000000      -99.000000   -
       13421      -99.000000      -99.000000   -
       13467      -99.000000      -99.000000   -
       13473      -99.000000      -99.000000   -
       13483      -99.000000      -99.000000   -
       13534      -99.000000      -99.000000   -
       13559      -99.000000      -99.000000   -
       13561      -99.000000      -99.000000   -
       13563      -99.000000      -99.000000   -
       13583      -99.000000      -99.000000   -
       13618      -16.173925       40.938520   Galaxy
       13639      -99.000000      -99.000000   -
       13640      -99.000000      -99.000000   -
       13718      -99.000000      -99.000000   -
       13726      -99.000000      -99.000000   -
       13751      -99.000000      -99.000000   -
       13765      -99.000000      -99.000000   -
       13807      -99.000000      -99.000000   -
       13822      -99.000000      -99.000000   -
       13839      -99.000000      -99.000000   -
       13850      -99.000000      -99.000000   -
       13855      -99.000000      -99.000000   -
       13882      -99.000000      -99.000000   -
       13907      -99.000000      -99.000000   -
       13977      -99.000000      -99.000000   -
       14013      -99.000000      -99.000000   -
       14039      -99.000000      -99.000000   -
       14084      -99.000000      -99.000000   -
       14125      -99.000000      -99.000000   -
       14132      -99.000000      -99.000000   -
       14140      -15.876148       42.558709   AGN
       14158      -99.000000      -99.000000   -
       14190      -99.000000      -99.000000   -
       14202      -99.000000      -99.000000   -
       14283      -15.284833       43.307496   AGN
       14286      -99.000000      -99.000000   -
       14297      -99.000000      -99.000000   -
       14318      -99.000000      -99.000000   -
       14319      -16.099633       41.149219   AGN
